customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,TenureGroup,MonthlyRevenue,AnnualizedMonthlyRevenue,ChurnProbability,RiskSegment,ChurnProbabilityPct,RevenueAtRisk,AnnualRevenueAtRisk,CustomerValueTier
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,49-72,100.35,1204.1999999999998,0.3903314748539829,Medium Risk,39.03,39.16976350159718,470.0371620191662,High Value
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49-72,103.7,1244.4,0.6819692989017969,High Risk,68.2,70.72021629611635,848.6425955533962,High Value
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,25-48,105.5,1266.0,0.7117735276457227,High Risk,71.18,75.09210716662373,901.1052859994847,High Value
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,49-72,113.25,1359.0,0.0858682012220981,Low Risk,8.59,9.724573788402608,116.6948854608313,High Value
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,49-72,20.65,247.8,0.033631783537394,Low Risk,3.36,0.6944963300471861,8.333955960566234,Low Value
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,49-72,106.7,1280.4,0.1084805018419892,Low Risk,10.85,11.574869546540247,138.89843455848296,High Value
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,7-12,55.2,662.4000000000001,0.3460849133187015,Medium Risk,34.61,19.103887215192323,229.24664658230787,Medium Value
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,13-24,90.05,1080.6,0.7844412765756696,High Risk,78.44,70.63893695563905,847.6672434676686,High Value
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0-6,39.65,475.8,0.8742525464968679,High Risk,87.43,34.66411346860081,415.9693616232097,Low Value
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,7-12,19.8,237.6,0.1562853350623419,Low Risk,15.63,3.09444963423437,37.13339561081244,Low Value
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0-6,20.15,241.8,0.389934837638315,Medium Risk,38.99,7.857186978412047,94.28624374094457,Low Value
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,49-72,59.9,718.8,0.0479639774564256,Low Risk,4.8,2.873042249639893,34.47650699567872,Medium Value
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,49-72,59.6,715.2,0.0815110233436626,Low Risk,8.15,4.858056991282291,58.296683895387496,Medium Value
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,25-48,55.3,663.5999999999999,0.2706421689557841,Low Risk,27.06,14.96651194325486,179.59814331905832,Medium Value
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,25-48,99.35,1192.1999999999998,0.7348673173043544,High Risk,73.49,73.0090679741876,876.1088156902513,High Value
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0-6,30.2,362.4,0.7026724032826187,High Risk,70.27,21.220706579135083,254.648478949621,Low Value
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,49-72,90.25,1083.0,0.046016767136225,Low Risk,4.6,4.153013234044306,49.83615880853168,High Value
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,13-24,64.7,776.4000000000001,0.6009751181787192,High Risk,60.1,38.883090146163134,466.5970817539576,Medium Value
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,49-72,96.35,1156.1999999999998,0.0760468911120587,Low Risk,7.6,7.3271179586468556,87.92541550376227,High Value
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0-6,95.5,1146.0,0.8806962804731913,High Risk,88.07,84.10649478518977,1009.2779374222772,High Value
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,25-48,66.15,793.8000000000001,0.0810371367425071,Low Risk,8.1,5.3606065955168445,64.32727914620213,Medium Value
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0-6,20.2,242.4,0.3755734902599263,Medium Risk,37.56,7.586584503250511,91.03901403900613,Low Value
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0-6,45.25,543.0,0.6160169971970612,High Risk,61.6,27.874769123167017,334.4972294780042,Low Value
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,49-72,99.9,1198.8000000000002,0.0536346734215669,Low Risk,5.36,5.3581038748145335,64.29724649777441,High Value
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0-6,69.7,836.4000000000001,0.8477440245291659,High Risk,84.77,59.087758509682864,709.0531021161944,Medium Value
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,25-48,74.8,897.5999999999999,0.5025229482120719,Medium Risk,50.25,37.58871652626298,451.06459831515576,Medium Value
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,25-48,106.35,1276.1999999999998,0.8168148896273233,High Risk,81.68,86.86826351186583,1042.41916214239,High Value
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,7-12,97.85,1174.1999999999998,0.8653833421132529,High Risk,86.54,84.67776002578178,1016.1331203093814,High Value
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,7-12,49.55,594.5999999999999,0.2606265653736501,Low Risk,26.06,12.914046314264361,154.96855577117233,Low Value
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,49-72,69.2,830.4000000000001,0.0347679970957335,Low Risk,3.48,2.405945399024758,28.871344788297097,Medium Value
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,13-24,20.75,249.0,0.1097721337347756,Low Risk,10.98,2.2777717749965936,27.333261299959123,Low Value
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,49-72,79.85,958.2,0.0388819028679027,Low Risk,3.89,3.10471994400203,37.25663932802436,Medium Value
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,13-24,76.2,914.4,0.5440981876119811,Medium Risk,54.41,41.46028189603297,497.5233827523956,Medium Value
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,49-72,84.5,1014.0,0.70651144656139,High Risk,70.65,59.70021723443745,716.4026068132495,High Value
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,0-6,49.25,591.0,0.5502621090943812,Medium Risk,55.03,27.100408872898274,325.2049064747793,Low Value
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0-6,80.65,967.8,0.8792917005946957,High Risk,87.93,70.91487565296222,850.9785078355467,Medium Value
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,49-72,79.75,957.0,0.0875055872101787,Low Risk,8.75,6.978570580011752,83.74284696014102,Medium Value
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,49-72,64.15,769.8000000000001,0.0206839867657155,Low Risk,2.07,1.3268777510206493,15.922533012247792,Medium Value
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,25-48,90.25,1083.0,0.7481441269386181,High Risk,74.81,67.52000745621028,810.2400894745233,High Value
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,13-24,99.1,1189.1999999999998,0.7200154384144826,High Risk,72.0,71.35352994687521,856.2423593625026,High Value
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,25-48,69.5,834.0,0.4349236535120501,Medium Risk,43.49,30.22719391908748,362.72632702904974,Medium Value
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,7-12,80.65,967.8,0.8075394975879757,High Risk,80.75,65.12806048047024,781.5367257656428,Medium Value
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,49-72,74.85,898.1999999999999,0.0623628794773017,Low Risk,6.24,4.667861528876032,56.01433834651239,Medium Value
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,13-24,95.45,1145.4,0.904612512342307,High Risk,90.46,86.34526430307321,1036.1431716368784,High Value
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,49-72,99.65,1195.8000000000002,0.3032846267220835,Medium Risk,30.33,30.222313052855622,362.66775663426745,High Value
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,49-72,108.45,1301.4,0.4149642298717584,Medium Risk,41.5,45.0028707295922,540.0344487551065,High Value
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,25-48,24.95,299.4,0.0360340934421536,Low Risk,3.6,0.8990506313817324,10.788607576580787,Low Value
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,49-72,107.5,1290.0,0.1867320303358857,Low Risk,18.67,20.073693261107714,240.88431913329256,High Value
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,25-48,100.5,1206.0,0.7854243449790009,High Risk,78.54,78.9351466703896,947.2217600446752,High Value
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,49-72,89.9,1078.8000000000002,0.5293318117005956,Medium Risk,52.93,47.58692987188355,571.0431584626026,High Value
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,49-72,42.1,505.2000000000001,0.0193029332037667,Low Risk,1.93,0.812653487878578,9.751841854542937,Low Value
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,13-24,54.4,652.8,0.2145361530375195,Low Risk,21.45,11.67076672524106,140.04920070289273,Medium Value
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,7-12,94.4,1132.8000000000002,0.8787954103298534,High Risk,87.88,82.95828673513817,995.499440821658,High Value
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0-6,75.3,903.6,0.7153033857525704,High Risk,71.53,53.862344947168545,646.3481393660226,Medium Value
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,25-48,78.9,946.8,0.4590908753566123,Medium Risk,45.91,36.222270065636714,434.6672407876406,Medium Value
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,25-48,79.2,950.4,0.1136933754832688,Low Risk,11.37,9.004515338274889,108.05418405929866,Medium Value
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,49-72,20.15,241.8,0.013996829092463,Low Risk,1.4,0.2820361062131294,3.384433274557553,Low Value
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,7-12,79.85,958.2,0.687502633403165,High Risk,68.75,54.89708527724272,658.7650233269126,Medium Value
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0-6,49.05,588.5999999999999,0.5129057462084651,Medium Risk,51.29,25.15802685152521,301.89632221830254,Low Value
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,49-72,20.4,244.8,0.0535815139392563,Low Risk,5.36,1.0930628843608285,13.116754612329942,Low Value
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,49-72,111.6,1339.1999999999998,0.1561251088107061,Low Risk,15.61,17.4235621432748,209.0827457192976,High Value
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,49-72,24.25,291.0,0.0166272289149802,Low Risk,1.66,0.40321030118826984,4.838523614259238,Low Value
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0-6,64.5,774.0,0.4542153000591314,Medium Risk,45.42,29.296886853813977,351.56264224576773,Medium Value
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,49-72,110.5,1326.0,0.4147886980332889,Medium Risk,41.48,45.83415113267842,550.0098135921411,High Value
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,25-48,55.65,667.8,0.1496376845915542,Low Risk,14.96,8.32733714751999,99.92804577023989,Medium Value
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,7-12,54.65,655.8,0.3384367684102781,Medium Risk,33.84,18.495569393621697,221.94683272346037,Medium Value
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,25-48,74.75,897.0,0.5479063371550572,Medium Risk,54.79,40.95599870234053,491.47198442808633,Medium Value
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,25-48,25.9,310.79999999999995,0.0629408413751314,Low Risk,6.29,1.630167791615903,19.562013499390837,Low Value
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0-6,79.35,952.2,0.8604617028326841,High Risk,86.05,68.27763611977348,819.3316334372817,Medium Value
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,7-12,50.55,606.5999999999999,0.662890039996387,High Risk,66.29,33.50909152181736,402.1090982618083,Medium Value
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,7-12,75.15,901.8,0.7659925490864203,High Risk,76.6,57.56434006384449,690.7720807661339,Medium Value
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,25-48,103.8,1245.6,0.5785572300612002,Medium Risk,57.86,60.054240480352576,720.6508857642309,High Value
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,49-72,20.15,241.8,0.0256777099836646,Low Risk,2.57,0.5174058561708417,6.2088702740501,Low Value
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,7-12,99.3,1191.6,0.8584457625005677,High Risk,85.84,85.24366421630637,1022.9239705956765,High Value
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,25-48,62.15,745.8,0.1883097679929757,Low Risk,18.83,11.703452080763439,140.44142496916126,Medium Value
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,25-48,20.65,247.8,0.0155342444570613,Low Risk,1.55,0.3207821480383158,3.8493857764597896,Low Value
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,25-48,19.95,239.4,0.0247938933780559,Low Risk,2.48,0.4946381728922152,5.935658074706582,Low Value
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,25-48,33.75,405.0,0.51872868495664,Medium Risk,51.87,17.5070931172866,210.0851174074392,Low Value
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,25-48,82.05,984.6,0.4535076452364172,Medium Risk,45.35,37.21030229164803,446.52362749977635,Medium Value
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0-6,74.7,896.4000000000001,0.788532084983757,High Risk,78.85,58.90334674828665,706.8401609794398,Medium Value
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,49-72,84.0,1008.0,0.0536425779665613,Low Risk,5.36,4.505976549191149,54.071718590293784,High Value
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,49-72,111.05,1332.6,0.4861497884135677,Medium Risk,48.61,53.986934003326695,647.8432080399203,High Value
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,49-72,100.9,1210.8000000000002,0.2340188904533422,Low Risk,23.4,23.61250604674223,283.35007256090677,High Value
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,7-12,78.95,947.4,0.7888266792536351,High Risk,78.88,62.2778663270745,747.334395924894,Medium Value
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,49-72,66.85,802.1999999999999,0.0361184789916441,Low Risk,3.61,2.414520320591408,28.974243847096897,Medium Value
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0-6,21.05,252.6,0.3471612828208696,Medium Risk,34.72,7.307745003379305,87.69294004055166,Low Value
